CLAVEUNICA;DIAS;TIPO DE GUARDIA;NIVEL;CODIGO;IMPORTE
LAVGUARDIAS RPN COMPLEJA;LAV;GUARDIAS RPN COMPLEJ;A;003-78; 140.000,00 
S,DYFGUARDIAS RPN COMPLEJA;S,DYF;GUARDIAS RPN COMPLEJ;A;003-79; 173.000,00 
LAVGUARDIAS UTIM COVIDA;LAV;GUARDIAS UTIM COVID ;A;003-76; 27.000,00 
S,DYFGUARDIAS UTIM COVIDA;S,DYF;GUARDIAS UTIM COVID ;A;003-77; 36.000,00 
LAVKINESIÓLOGOS COVIDB;LAV;KINESIÓLOGOS COVID;B;003-82; 6.000,00 
S,DYFKINESIÓLOGOS COVIDB;S,DYF;KINESIÓLOGOS COVID;B;003-83; 8.000,00 
LAVKINESIÓLOGOS COVIDA;LAV;KINESIÓLOGOS COVID;A;003-82; 6.000,00 
S,DYFKINESIÓLOGOS COVIDA;S,DYF;KINESIÓLOGOS COVID;A;003-83; 8.000,00 
LAVGUARDIAS ASISTENCIALESA;LAV;GUARDIAS ASISTENCIALES;A;003-80; 82.000,00 
LAVGUARDIAS ASISTENCIALESB;LAV;GUARDIAS ASISTENCIALES;B;003-80; 67.000,00 
LAVGUARDIAS ASISTENCIALESC;LAV;GUARDIAS ASISTENCIALES;C;003-80; 63.000,00 
LAVGUARDIAS ASISTENCIALESD;LAV;GUARDIAS ASISTENCIALES;D;003-80; 61.000,00 
S,DYFGUARDIAS ASISTENCIALESA;S,DYF;GUARDIAS ASISTENCIALES;A;003-81; 98.000,00 
S,DYFGUARDIAS ASISTENCIALESB;S,DYF;GUARDIAS ASISTENCIALES;B;003-81; 83.000,00 
S,DYFGUARDIAS ASISTENCIALESC;S,DYF;GUARDIAS ASISTENCIALES;C;003-81; 79.000,00 
S,DYFGUARDIAS ASISTENCIALESD;S,DYF;GUARDIAS ASISTENCIALES;D;003-81; 73.000,00 
S,DYFGUARDIAS MEDICASA;S,DYF;GUARDIAS MEDICAS;A;003-86; 370.000,00 
LAVGUARDIAS MEDICASA;LAV;GUARDIAS MEDICAS;A;003-85; 275.000,00 
LAVGUARDIAS PLUSA;LAV;GUARDIAS PLUS;A;003-87; 115.000,00 
S,DYFGUARDIAS PLUSA;S,DYF;GUARDIAS PLUS;A;003-88; 136.000,00 
LAVGUARDIAS PLUS 2A;LAV;GUARDIAS PLUS 2;A;003-89; 138.000,00 
S,DYFGUARDIAS PLUS 2A;S,DYF;GUARDIAS PLUS 2;A;003-90; 185.000,00 
LAVCOMUN MEDICOS LAV BISA;LAV;COMUN MEDICOS LAV BIS;A;031-65; 27.000,00 
S,DYFCOMÚN MÉDICOS S,DYF BISA;S,DYF;COMÚN MÉDICOS S,DYF BIS;A;031-66; 40.000,00 
LAVCRITICA MEDICOS LAV BISA;LAV;CRITICA MEDICOS LAV BIS;A;031-72; 80.000,00 
S,DYFCRITICA MEDICOS SDF BISA;S,DYF;CRITICA MEDICOS SDF BIS;A;031-73; 106.000,00 
LAVGUARDIAS UTIM COVID LAV BISA;LAV;GUARDIAS UTIM COVID LAV BIS;A;031-76; 24.000,00 
S,DYFGUARDIAS UTIM COVID SDF BISA;S,DYF;GUARDIAS UTIM COVID SDF BIS;A;031-77; 32.000,00 
LAVGUARDIAS ASISTENCIALES LAV BISA;LAV;GUARDIAS ASISTENCIALES LAV BIS;A;031-80; 29.000,00 
LAVGUARDIAS ASISTENCIALES LAV BISB;LAV;GUARDIAS ASISTENCIALES LAV BIS;B;031-80; 23.000,00 
LAVGUARDIAS ASISTENCIALES LAV BISC;LAV;GUARDIAS ASISTENCIALES LAV BIS;C;031-80; 22.000,00 
LAVGUARDIAS ASISTENCIALES LAV BISD;LAV;GUARDIAS ASISTENCIALES LAV BIS;D;031-80; 20.000,00 
S,DYFGUARDIAS ASISTENCIALES SDF BISA;S,DYF;GUARDIAS ASISTENCIALES SDF BIS;A;031-81; 35.000,00 
S,DYFGUARDIAS ASISTENCIALES SDF BISB;S,DYF;GUARDIAS ASISTENCIALES SDF BIS;B;031-81; 29.000,00 
S,DYFGUARDIAS ASISTENCIALES SDF BISC;S,DYF;GUARDIAS ASISTENCIALES SDF BIS;C;031-81; 27.000,00 
S,DYFGUARDIAS ASISTENCIALES SDF BISD;S,DYF;GUARDIAS ASISTENCIALES SDF BIS;D;031-81; 24.000,00 
LAVGUARDIAS MEDICAS LAV BISA;LAV;GUARDIAS MEDICAS LAV BIS;A;031-85; 106.000,00 
S,DYFGUARDIAS MEDICAS SDF BISA;S,DYF;GUARDIAS MEDICAS SDF BIS;A;031-86; 141.000,00 
LAVGUARDIAS PLUS LAV BISA;LAV;GUARDIAS PLUS LAV BIS;A;031-87; 53.000,00 
S,DYFGUARDIAS PLUS SDF BISA;S,DYF;GUARDIAS PLUS SDF BIS;A;031-88; 73.000,00 
LAVGUARDIAS PLUS 2 BISA;LAV;GUARDIAS PLUS 2 BIS;A;031-89; 60.000,00 
S,DYFGUARDIAS PLUS 2 BISA;S,DYF;GUARDIAS PLUS 2 BIS;A;031-90; 80.000,00 
S,DYFGUARDIA DENGUEA;S,DYF;GUARDIA DENGUE ;A;003-96; 45.000,00 
LAVGUARDIA DENGUEA;LAV;GUARDIA DENGUE ;A;003-96; 45.000,00 
LAVGUARDIA DENGUE LAV BISA;LAV;GUARDIA DENGUE LAV BIS;A;031-96; 45.000,00 
S,DYFGUARDIA DENGUE SDF BISA;S,DYF;GUARDIA DENGUE SDF BIS ;A;031-96; 45.000,00 
LAVGUARDIAS ASISTENCIALESA;LAV;GUARDIAS ASISTENCIALES;A;003-80; 82.000,00 
LAVGUARDIAS ASIST. IIA;LAV;GUARDIAS ASIST. II;A;032-80; 118.000,00 
LAVGUARDIAS ASIST. IIB;LAV;GUARDIAS ASIST. II;B;032-80; 94.000,00 
LAVGUARDIAS ASIST. IIC;LAV;GUARDIAS ASIST. II;C;032-80; 92.000,00 
LAVGUARDIAS ASIST. IID;LAV;GUARDIAS ASIST. II;D;032-80; 84.000,00 
S,DYFGUARDIAS ASIST. IIA;S,DYF;GUARDIAS ASIST. II;A;032-81; 147.000,00 
S,DYFGUARDIAS ASIST. IIB;S,DYF;GUARDIAS ASIST. II;B;032-81; 124.000,00 
S,DYFGUARDIAS ASIST. IIC;S,DYF;GUARDIAS ASIST. II;C;032-81; 118.000,00 
S,DYFGUARDIAS ASIST. IID;S,DYF;GUARDIAS ASIST. II;D;032-81; 110.000,00 
LAVGUARDIAS ASIST. II BIS LAVA;LAV;GUARDIAS ASIST. II BIS LAV;A;B32-80; 43.000,00 
LAVGUARDIAS ASIST. II BIS LAVB;LAV;GUARDIAS ASIST. II BIS LAV;B;B32-80; 34.000,00 
LAVGUARDIAS ASIST. II BIS LAVC;LAV;GUARDIAS ASIST. II BIS LAV;C;B32-80; 32.000,00 
LAVGUARDIAS ASIST. II BIS LAVD;LAV;GUARDIAS ASIST. II BIS LAV;D;B32-80; 30.000,00 
S,DYFGUARDIAS ASIST. II BIS SDFA;S,DYF;GUARDIAS ASIST. II BIS SDF;A;B32-81; 52.000,00 
S,DYFGUARDIAS ASIST. II BIS SDFB;S,DYF;GUARDIAS ASIST. II BIS SDF;B;B32-81; 43.000,00 
S,DYFGUARDIAS ASIST. II BIS SDFC;S,DYF;GUARDIAS ASIST. II BIS SDF;C;B32-81; 41.000,00 
S,DYFGUARDIAS ASIST. II BIS SDFD;S,DYF;GUARDIAS ASIST. II BIS SDF;D;B32-81; 39.000,00 
LAVGUARDIAS MEDICAS ESP. LAV BISA;LAV;GUARDIAS MEDICAS ESP. LAV BIS;A;032-48; 152.000,00 
S,DYFGUARDIAS MEDICAS ESP. SDF BISA;S,DYF;GUARDIAS MEDICAS ESP. SDF BIS;A;032-49; 190.000,00 
LAVGUARDIAS MED. ESP LAV DIURNAA;LAV;GUARDIAS MED. ESP LAV DIURNA;A;D31-48; 289.000,00 
LAVGUARDIAS MED. ESP SDF DIURNAA;LAV;GUARDIAS MED. ESP SDF DIURNA;A;D31-49; 389.000,00 
S,DYFGUARDIAS MED. ESP LAV NOCTURNAA;S,DYF;GUARDIAS MED. ESP LAV NOCTURNA;A;N31-49; 411.000,00 
LAVGUARDIAS MED. ESP LAV NOCTURNAA;LAV;GUARDIAS MED. ESP LAV NOCTURNA;A;N31-48; 315.000,00 
S,DYFGUARDIAS MED. ESP SDF DIURNAA;S,DYF;GUARDIAS MED. ESP SDF DIURNA;A;D31-49; 389.000,00 
LAVGUARDIAS PLUS 3A;LAV;GUARDIAS PLUS 3;A;031-54; 265.000,00 
S,DYFGUARDIAS PLUS 3A;S,DYF;GUARDIAS PLUS 3;A;032-55; 360.000,00 
S,DYFGUARDIAS MED. ESP SDF NOCTURNAA;S,DYF;GUARDIAS MED. ESP SDF NOCTURNA;A;N31-49; 411.000,00 
LAVGUARDIAS ESP. MCN DIURNAA;LAV;GUARDIAS ESP. MCN DIURNA;A;D32-94; 389.000,00 
LAVGUARDIAS ESP. MCN NOCTURNAA;LAV;GUARDIAS ESP. MCN NOCTURNA;A;N32-94; 411.000,00 
LAVGUARDIAS SERVICIOS CERRADOSA;LAV;GUARDIAS SERVICIOS CERRADOS;A;SC1-25; 170.000,00 
S,DYFGUARDIAS SERVICIOS CERRADOSA;S,DYF;GUARDIAS SERVICIOS CERRADOS;A;SC2-25; 220.000,00 
S,DYFGUARDIAS ESP. MCN DIURNAA;S,DYF;GUARDIAS ESP. MCN DIURNA;A;D32-94; 389.000,00 
S,DYFGUARDIAS ESP. MCN NOCTURNAA;S,DYF;GUARDIAS ESP. MCN NOCTURNA;A;N32-94; 411.000,00 
LAVGUARDIAS MEDICAS COBA;LAV;GUARDIAS MEDICAS COB;A;COB-85; 233.000,00 
S,DYFGUARDIAS MEDICAS COBA;S,DYF;GUARDIAS MEDICAS COB;A;COB-86; 322.000,00 
S,DYFGUARDIAS COMUN FIESTAA;S,DYF;GUARDIAS COMUN FIESTA;A;003F66; 102.000,00 
S,DYFCRITICAS MEDICOS FIESTAA;S,DYF;CRITICAS MEDICOS FIESTA;A;003F73; 544.000,00 
S,DYFGUARDIAS MEDICAS FIESTAA;S,DYF;GUARDIAS MEDICAS FIESTA;A;003F86; 630.000,00 
S,DYFGUARDIAS MEDICAS COB FIESTAA;S,DYF;GUARDIAS MEDICAS COB FIESTA;A;COBF86; 580.000,00 
S,DYFGUARDIAS PLUS 3 FIESTAA;S,DYF;GUARDIAS PLUS 3 FIESTA;A;032F55; 720.000,00 
S,DYFPROGRAMA CIRUGÍA NEONATALA;S,DYF;PROGRAMA CIRUGÍA NEONATAL;A;003-57; 370.000,00 
LAVPROGRAMA CIRUGÍA NEONATALA;LAV;PROGRAMA CIRUGÍA NEONATAL;A;003-57; 370.000,00 
S,DYFGUARDIAS FJ CRITICASA;S,DYF;GUARDIAS FJ CRITICAS;A;003-73;272.000,00
S,DYFGUARDIAS FJ MEDICASA;S,DYF;GUARDIAS FJ MEDICAS;A;003-86;370.000,00
LAVGUARDIAS FJ CRITICASA;LAV;GUARDIAS FJ CRITICAS;A;003-72;230.000,00
LAVGUARDIAS FJ MEDICASA;LAV;GUARDIAS FJ MEDICAS;A;003-85;275.000,00
LAVGUARDIAS MEDICAS HNA;LAV;GUARDIAS MEDICAS HN;A;003G85;350.000,00
S,DYFGUARDIAS MEDICAS HNA;S,DYF;GUARDIAS MEDICAS HN;A;003G86;470.000,00
